slug,row_type,order,series_name,start_location,end_location,delay,slice_thickness,plane,acquisition,fov,thickness_increment,kernel,ir_strength,notes
endocarditiscardiac-mass,acquisition,2,Gated CTA,Top of heart,Below heart,30 sec,0.5-0.625 mm,,,,,,,Retrospective ECG gating
endocarditiscardiac-mass,acquisition,3,Delayed phase,Lung Apices,Diaphragm,70 sec,1 mm,,,,,,,"To detect for abscess, vegetation, masses"
endocarditiscardiac-mass,recon,1,,,,,,Axial,Non-contrast,Heart,3 mm/3 mm,Standard,3,For dense material or calcifications
endocarditiscardiac-mass,recon,2,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Reformatted at best cardiac phase
endocarditiscardiac-mass,recon,3,,,,,,Axial,Gated CTA,Heart,1 mm/1 mm,Standard,3,Functional series for valve assessment
endocarditiscardiac-mass,recon,4,,,,,,Axial,Delayed,Chest,1 mm/1 mm,Standard,3,"Mass, vegetations"
gated-cta-cap-sternotomy-revision,acquisition,1,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective gating
gated-cta-cap-sternotomy-revision,acquisition,2,Flash AP,Diaphragm,Pubic symphysis,Immediate,0.625 mm,,,,,,,Arterial phase AP
gated-cta-cap-sternotomy-revision,acquisition,3,Venogram Chest,Thoracic inlet,Diaphragm,60 sec,1 mm,,,,,,,Retrosternal venous structures
gated-cta-cap-sternotomy-revision,recon,1,,,,,,Axial,Gated chest,Chest,0.75 mm/0.75 mm,Cardiac,3,Cardiac and coronary anatomy
gated-cta-cap-sternotomy-revision,recon,2,,,,,,Axial,Venogram,Chest,1.25 mm/1.25 mm,Standard,3,Critical for retrosternal structures
gated-cta-cap-sternotomy-revision,recon,3,,,,,,Coronal,All phases,Chest,2 mm/2 mm,Standard,3,Anterior chest wall structures
gated-cta-cap-sternotomy-revision,recon,4,,,,,,3D VR,Venogram,Chest,1 mm source,Standard,3,3D map retrosternal vessels for surgery
gated-cta-cap,acquisition,1,Flash Non-contrast,Thoracic inlet,Pubic symphysis,N/A,0.625 mm,,,,,,,Non-contrast
gated-cta-cap,acquisition,2,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective gating chest
gated-cta-cap,acquisition,3,Flash CTA AP,Diaphragm,Pubic symphysis,Immediate after chest,0.625 mm,,,,,,,High pitch helical - no gating
gated-cta-cap,acquisition,4,Stent Delay (optional),Top of Stent,Bottom of Stent,40 sec,0.625 mm,,,,,,,Stent coverage
gated-cta-cap,recon,1,,,,,,Axial,Gated chest,Chest,0.75 mm/0.75 mm,Cardiac,3,Aortic root and valve
gated-cta-cap,recon,2,,,,,,Axial,Flash AP,Abdomen/Pelvis,2 mm/2 mm,Vascular,3,Abdominal aorta and branches
gated-cta-cap,recon,3,,,,,,Coronal,Both,Full CAP,2.5 mm/2.5 mm,Vascular,3,MIP full aorta
gated-cta-cap,recon,4,,,,,,Sagittal,Both,Full CAP,2.5 mm/2.5 mm,Vascular,3,Curved MPR entire aorta
gated-cta-chest-post-op-cardiac-valve,acquisition,1,Gated CTA,Top of heart,Below heart,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective gating HIGH kV
gated-cta-chest-post-op-cardiac-valve,recon,1,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.75 mm,Cardiac,3,Prosthetic valve assessment
gated-cta-chest-post-op-cardiac-valve,recon,2,,,,,,Axial,Gated CTA,Heart,Multi-phase,Cardiac,3,Multiple cardiac phases for motion
gated-cta-chest-post-op-cardiac-valve,recon,3,,,,,,Short axis,Gated CTA,Valve level,1 mm,Cardiac,3,En face valve views
gated-cta-chest-post-op-cardiac-valve,recon,4,,,,,,Long axis,Gated CTA,Heart,Multi-phase,Cardiac,3,Valve motion assessment
gated-cta-chest,acquisition,1,Non-contrast,Lung apices,Diaphragm,N/A,3 mm,,,,,,,Calcium score
gated-cta-chest,acquisition,2,Gated CTA,Lung apices,Diaphragm,Bolus tracked,0.5-0.625 mm,,,,,,,Retrospective ECG gating
gated-cta-chest,acquisition,3,Stent delay (optional),Start of Stent,End of Stent,40 sec,0.5-0.625 mm,,,,,,,Optional for stent assessment
gated-cta-chest,recon,1,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Primary coronary assessment
gated-cta-chest,recon,2,,,,,,Curved MPR,Gated CTA,Each coronary,0.75 mm,Cardiac,3,Vessel-specific reconstructions
gated-cta-chest,recon,3,,,,,,Axial,Non-contrast,Heart,3 mm/3 mm,Standard,3,Calcium scoring
gated-cta-chest,recon,4,,,,,,Short/long axis,Gated CTA,Heart,Multi-phase,Cardiac,3,Functional assessment
gated-cta-heart-left-atrial-mapping,acquisition,1,Gated CTA,Pulmonary veins,Below LA,Bolus tracked,0.5 mm,,,,,,,Retrospective - thin slices critical
gated-cta-heart-left-atrial-mapping,acquisition,2,Delayed CTA,Pulmonary veins,Below LA,40s,0.5 mm,,,,,,,Retrospective - thin slices critical
gated-cta-heart-left-atrial-mapping,recon,1,,,,,,Axial,Gated CTA,LA/PV,0.5 mm/0.5 mm,Cardiac,3,Primary PV anatomy
gated-cta-heart-left-atrial-mapping,recon,2,,,,,,Coronal,Gated CTA,LA/PV,0.75 mm,Cardiac,3,PV ostia en face
gated-cta-heart-left-atrial-mapping,recon,3,,,,,,Sagittal,Gated CTA,LA/PV,0.75 mm,Cardiac,3,Lateral PV views
gated-cta-heart-left-atrial-mapping,recon,4,,,,,,Axial,Delayed CTA,LA/PV,0.5 mm/0.5 mm,Cardiac,3,Left Atrial Appendage Thrombus
gated-cta-tavr,acquisition,1,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5 mm,,,,,,,Retrospective gating for valve
gated-cta-tavr,acquisition,2,Flash CTA AP,Diaphragm,Femoral heads,Immediate,0.625 mm,,,,,,,Iliofemoral access planning
gated-cta-tavr,recon,1,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Aortic valve and root measurements
gated-cta-tavr,recon,2,,,,,,Axial,Flash AP,AP,2 mm/2 mm,Vascular,3,Access vessel assessment
gated-cta-tavr,recon,3,,,,,,Double oblique,Gated chest,Aortic valve,0.5 mm,Cardiac,3,En face aortic annulus for sizing
gated-cta-tavr,recon,4,,,,,,3D VR,Flash AP,Iliofemoral,1.5 mm source,Vascular,3,3D access planning
gated-cta-tmvr,acquisition,1,Calcium Score,Carina,Base of heart,N/A,2.5 mm,,,,,,,Calcium scoring
gated-cta-tmvr,acquisition,2,Gated CTA Chest,Carina,Base of heart,Bolus tracked,0.5 mm,,,,,,,NO DOSE PULSING - retrospective all phases
gated-cta-tmvr,acquisition,3,Delayed CAP,Diaphragm,Femoral heads,80 sec,0.625 mm,,,,,,,Access planning and coronaries
gated-cta-tmvr,recon,1,,,,,,Axial,Calcium Score,Apex of heart to Base of heart,2.5 mm/2.5 mm,Cardiac,3,Calcium scoring
gated-cta-tmvr,recon,2,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Mitral valve measurements
gated-cta-tmvr,recon,3,,,,,,Axial,Delayed CAP,AP,2 mm/2 mm,Vascular,3,Access vessels
gated-cta-tmvr,recon,4,,,,,,Double oblique,Gated chest,Mitral valve,0.5 mm,Cardiac,3,En face mitral annulus
gated-cta-tmvr,recon,5,,,,,,3D VR,Delayed CAP,Iliofemoral,1.5 mm,Vascular,3,Access planning
gated-cta-ttvr,acquisition,1,Gated CTA Chest,Carina,Base of heart,Bolus tracked,0.5 mm,,,,,,,NO DOSE PULSING - all phases
gated-cta-ttvr,acquisition,2,Delayed CAP,Diaphragm,Femoral heads,90 sec,0.625 mm,,,,,,,Access planning
gated-cta-ttvr,recon,1,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Tricuspid valve measurements
gated-cta-ttvr,recon,2,,,,,,Axial,Delayed CAP,AP,2 mm/2 mm,Vascular,3,Access assessment
gated-cta-ttvr,recon,3,,,,,,Double oblique,Gated chest,Tricuspid valve,0.5 mm,Cardiac,3,En face tricuspid annulus
gated-cta-ttvr,recon,4,,,,,,3D VR,Delayed CAP,Iliofemoral,1.5 mm,Vascular,3,Access planning
ct-pulmonary-embolism,acquisition,1,Pulmonary Angiogram,Lung apices,Adrenal glands,Bolus tracked,0.625 mm,,,,,,,Caudocranial direction from diaphragm to apices
ct-pulmonary-embolism,recon,1,,,,,,Axial,Angiogram,Chest,1.25 mm/1.25 mm,Standard,3,Mediastinal window for PE assessment
ct-pulmonary-embolism,recon,2,,,,,,Axial,Angiogram,Chest,2.5 mm/2.5 mm,Lung,3,Lung window for parenchymal assessment
ct-pulmonary-embolism,recon,3,,,,,,Coronal,Angiogram,Chest,3 mm/3 mm,Standard,3,Overview of pulmonary vasculature
ct-pulmonary-embolism,recon,4,,,,,,Sagittal,Angiogram,Chest,3 mm/3 mm,Standard,3,Optional for clinical correlation
dynamic-airway-ct,acquisition,1,Inspiration,Thoracic inlet,Carina+10cm,Full inspiration,0.625-1 mm,,,,,,,Thin for 3D
dynamic-airway-ct,acquisition,2,Mid-Expiration,Thoracic inlet,Carina+10cm,Forced mid-expiration,0.625-1 mm,,,,,,,Same level as inspiration
dynamic-airway-ct,acquisition,3,Cine (optional),Carina level,Single slice,Continuous breathing,Cine mode,,,,,,,Dynamic collapse
dynamic-airway-ct,recon,1,,,,,,Axial,Both phases,Airway,1-2 mm/1 mm,Lung,3,Axial airway
dynamic-airway-ct,recon,2,,,,,,Coronal,Both phases,Airway,1.5 mm,Lung,3,Coronal airway
dynamic-airway-ct,recon,3,,,,,,Sagittal,Both phases,Airway,1.5 mm,Lung,3,Sagittal airway
dynamic-airway-ct,recon,4,,,,,,3D VR,Both phases,Airway,0.625-1 mm source,Lung,N/A,3D airway reconstruction
non-contrast-chest-lung-nodule-ultra-low-dose,acquisition,1,Ultra Low Dose Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,,,,,,,Ultra low dose helical
non-contrast-chest-lung-nodule-ultra-low-dose,recon,1,,,,,,Axial,Chest,Chest,1.25 mm/1.25 mm,Lung,Maximum IR 5,Nodule follow-up
non-contrast-chest-lung-nodule-ultra-low-dose,recon,2,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,High IR,Mediastinal
non-contrast-chest-lung-nodule-ultra-low-dose,recon,3,,,,,,Coronal,Chest,Chest,2 mm/2 mm,Lung,Maximum IR,Coronal
non-contrast-ct-chest-low-dose,acquisition,1,Low Dose Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,,,,,,,Low dose helical
non-contrast-ct-chest-low-dose,recon,1,,,,,,Axial,Chest,Chest,1.25 mm/1.25 mm,Lung,High IR 4-5,Thin slice nodule detection
non-contrast-ct-chest-low-dose,recon,2,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window
non-contrast-ct-chest-low-dose,recon,3,,,,,,Coronal,Chest,Chest,2 mm/2 mm,Lung,High IR,Coronal overview
non-contrast-ct-chest-low-dose,recon,4,,,,,,MIP,Chest,Lungs,5 mm slab,Lung,N/A,Nodule detection
non-contrast-ct-chest-routine,acquisition,1,NC Chest,Lung apices,Costophrenic angles,N/A,1-1.25 mm,,,,,,,Standard dose helical
non-contrast-ct-chest-routine,recon,1,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Standard,3,Mediastinal window
non-contrast-ct-chest-routine,recon,2,,,,,,Axial,Chest,Chest,2.5 mm/2.5 mm,Lung,3,Lung window
non-contrast-ct-chest-routine,recon,3,,,,,,Coronal,Chest,Chest,3 mm/3 mm,Lung,3,Coronal lung
non-contrast-ct-chest-routine,recon,4,,,,,,Sagittal,Chest,Chest,3 mm/3 mm,Standard,3,Optional mediastinum
non-volumetric-hrct-1-phase-prone,acquisition,1,HRCT Prone,Lung apices,Costophrenic angles,Full inspiration,1 mm at 1-2cm intervals,,,,,,,Sequential prone
non-volumetric-hrct-1-phase-prone,recon,1,,,,,,Axial,HRCT prone,Chest,1 mm display,Lung,3,Prone images
non-volumetric-hrct-1-phase-prone,recon,2,,,,,,Coronal,HRCT prone,Chest,2 mm,Lung,3,Coronal prone
non-volumetric-hrct-1-phase-prone,recon,3,,,,,,Compare,Supine vs prone,Posterior lungs,1 mm,Lung,3,Dependent changes
non-volumetric-hrct-1-respiratory-phase,acquisition,1,HRCT Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm at 1-2cm intervals,,,,,,,Sequential slices
non-volumetric-hrct-1-respiratory-phase,recon,1,,,,,,Axial,HRCT,Chest,1 mm display,Lung,3,HRCT images
non-volumetric-hrct-1-respiratory-phase,recon,2,,,,,,Coronal,HRCT,Chest,2 mm,Lung,3,Coronal overview
non-volumetric-hrct-1-respiratory-phase,recon,3,,,,,,Targeted,HRCT,Area of interest,1 mm,Lung,3,Focus on abnormality
non-volumetric-hrct-3-respiratory-phases,acquisition,1,Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm axial at 1-2cm intervals,,,,,,,Sequential non-volumetric
non-volumetric-hrct-3-respiratory-phases,acquisition,2,Full Expiration,Lung apices,Costophrenic angles,Full expiration,1 mm at intervals,,,,,,,Sequential
non-volumetric-hrct-3-respiratory-phases,acquisition,3,Prone,Lung apices,Costophrenic angles,Full inspiration,1 mm at intervals,,,,,,,Sequential
non-volumetric-hrct-3-respiratory-phases,recon,1,,,,,,Axial,All phases,Chest,1 mm display,Lung,3,Compare three phases
non-volumetric-hrct-3-respiratory-phases,recon,2,,,,,,Coronal reformat,Inspiration,Chest,2 mm,Lung,3,Inspiration overview
non-volumetric-hrct-3-respiratory-phases,recon,3,,,,,,Mosaic MIP,All phases,Lungs,5 mm,Lung,N/A,Air trapping visualization
quantitative-lung-density-ct,acquisition,1,Volumetric Inspiration,Lung apices,Costophrenic angles,Full inspiration (TLC),0.625-1 mm,,,,,,,Contiguous for quantification
quantitative-lung-density-ct,acquisition,2,Volumetric Expiration,Lung apices,Costophrenic angles,Full expiration (RV),0.625-1 mm,,,,,,,Contiguous complete exhalation
quantitative-lung-density-ct,recon,1,,,,,,Axial,Inspiration,Chest,1 mm/1 mm,Lung,3,Quantitative inspiration
quantitative-lung-density-ct,recon,2,,,,,,Axial,Expiration,Chest,1 mm/1 mm,Lung,3,Quantitative expiration
quantitative-lung-density-ct,recon,3,,,,,,Density map,Inspiration,Lungs,Color coded,Lung,N/A,Emphysema distribution map
quantitative-lung-density-ct,recon,4,,,,,,Density map,Expiration,Lungs,Color coded,Lung,N/A,Air trapping map
volumetric-hrct-2-respiratory-phases,acquisition,1,Volumetric Inspiration,Lung apices,Costophrenic angles,Full inspiration,1 mm,,,,,,,Contiguous 1mm slices
volumetric-hrct-2-respiratory-phases,acquisition,2,Limited Expiration,Carina,Costophrenic angles,Full expiration,1 mm,,,,,,,Limited coverage expiration
volumetric-hrct-2-respiratory-phases,recon,1,,,,,,Axial,Inspiration,Chest,1 mm/1 mm,Lung,3,Thin slice ILD assessment
volumetric-hrct-2-respiratory-phases,recon,2,,,,,,Axial,Expiration,Lower lungs,1 mm/1 mm,Lung,3,Air trapping assessment
volumetric-hrct-2-respiratory-phases,recon,3,,,,,,Coronal,Inspiration,Chest,1.5 mm,Lung,3,ILD distribution
volumetric-hrct-2-respiratory-phases,recon,4,,,,,,Sagittal,Inspiration,Chest,2 mm,Lung,3,Craniocaudal distribution
ct-ankle,acquisition,1,CT Ankle,Distal tib/fib,Hindfoot,N/A or 60s if contrast,0.625 mm,,,,,,,Submillimeter
ct-ankle,recon,1,,,,,,Axial,Ankle,Ankle,1 mm/1 mm,Bone,N/A,Bone algorithm
ct-ankle,recon,2,,,,,,Coronal,Ankle,Ankle,1.5 mm/1 mm,Bone,N/A,Coronal ankle
ct-ankle,recon,3,,,,,,Sagittal,Ankle,Ankle,1.5 mm/1 mm,Bone,N/A,Sagittal ankle
ct-ankle,recon,4,,,,,,3D surface,Ankle,Bones,0.625 mm source,Bone,N/A,3D for complex fractures
ct-arthrogram-shoulder,acquisition,1,CT Arthrogram,Acromion,Proximal humerus,Immediate post-injection,0.625 mm,,,,,,,Submillimeter for labrum
ct-arthrogram-shoulder,recon,1,,,,,,Axial,Arthrogram,Shoulder,1 mm/0.75 mm,Standard,3,Thin for labral detail
ct-arthrogram-shoulder,recon,2,,,,,,Coronal,Arthrogram,Shoulder,1.5 mm/1 mm,Standard,3,Coronal oblique shoulder
ct-arthrogram-shoulder,recon,3,,,,,,Sagittal,Arthrogram,Shoulder,1.5 mm/1 mm,Standard,3,Sagittal oblique
ct-arthrogram-shoulder,recon,4,,,,,,Abduction ABER,Arthrogram,Shoulder,1.5 mm,Standard,3,ABER position if done
