protocol_name,last_updated,author,clinical_indications,patient_positioning,npo_status,premedication_notes,contrast_agent,contrast_volume,contrast_flow_rate,contrast_timing_method,contrast_roi_placement,contrast_trigger_hu,contrast_labs_notes,tech_notes,nursing_notes,radiologist_notes,gantt_contrast_volume,gantt_contrast_duration,gantt_saline_volume,gantt_saline_duration,gantt_scan_section,gantt_scan_phase,gantt_scan_style,gantt_scan_delay,gantt_scan_duration,safety_renal_function,safety_allergy_check,series_1_name,series_1_start,series_1_end,series_1_delay,series_1_thickness,series_1_notes,series_2_name,series_2_start,series_2_end,series_2_delay,series_2_thickness,series_2_notes,series_3_name,series_3_start,series_3_end,series_3_delay,series_3_thickness,series_3_notes,series_4_name,series_4_start,series_4_end,series_4_delay,series_4_thickness,series_4_notes,series_5_name,series_5_start,series_5_end,series_5_delay,series_5_thickness,series_5_notes,postproc_1_plane,postproc_1_acq,postproc_1_fov,postproc_1_thickness,postproc_1_kernel,postproc_1_ir,postproc_1_notes,postproc_2_plane,postproc_2_acq,postproc_2_fov,postproc_2_thickness,postproc_2_kernel,postproc_2_ir,postproc_2_notes,postproc_3_plane,postproc_3_acq,postproc_3_fov,postproc_3_thickness,postproc_3_kernel,postproc_3_ir,postproc_3_notes,postproc_4_plane,postproc_4_acq,postproc_4_fov,postproc_4_thickness,postproc_4_kernel,postproc_4_ir,postproc_4_notes,artifact_reduction_tip,category,kv,mas,rotation_time,pitch,additional_recons,
CTA Upper Extremity,2024-01-15,Dr. Davis,Upper extremity arterial insufficiency | Trauma | Dialysis access planning | Thoracic outlet syndrome,Supine with affected arm raised above head or at side depending on indication,NPO 2 hours,None,Isovue 370,100 mL,4 mL/s,Bolus Tracking,Subclavian artery,150 HU,Full dose if eGFR > 30,Scan from aortic arch to fingertips. May need bilateral for comparison. Position arm to demonstrate pathology,20G IV in contralateral arm,Assess subclavian axillary brachial radial ulnar arteries. Look for stenosis occlusion or injury,100mL,25s,40mL,10s,Upper Extremity,Arterial phase,crit,0:25,20s,Verify eGFR > 30,Check allergy history. IV in opposite arm,Scout/Topogram,Aortic arch,Fingertips,N/A,N/A,AP of arm,CTA Arterial,Aortic arch,Fingertips,Bolus tracked,0.625 mm,Include arch through hand,,,,,,,,,,,,,,,,,,,Axial,Arterial,Full arm,1.5 mm/1.5 mm,Vascular,3,Primary diagnostic,Coronal,Arterial,Full arm,2 mm/2 mm,Vascular,3,MIP full vessel course,Sagittal,Arterial,Full arm,2 mm/2 mm,Vascular,3,Lateral MIP,3D VR,Arterial,Full arm,1 mm source,Vascular,3,3D reconstruction,Position arm to avoid overlap with torso. May need special positioning for TOS,vascular,100,Auto (reference 200),0.5,0.9,MIP and 3D VR. Subtract bones for vessel visualization,
CTA Lower Extremity Runoff for PAD,2024-01-15,Dr. Anderson,Peripheral arterial disease | Claudication | Critical limb ischemia | Pre-operative bypass planning,Supine with arms raised. Legs straight,NPO 2-4 hours,None,Isovue 370,150 mL,4 mL/s,Bolus Tracking,Abdominal aorta,150 HU,Full dose if eGFR > 30. May need larger volume for slow flow,Scan from renal arteries to feet. Use automatic bolus tracking. Extend delay if known severe PAD. Cover tibial vessels to ankle,18-20G IV antecubital,Assess aortoiliac femoral popliteal and tibial vessels. Grade stenoses. Identify occlusions. Assess runoff vessels,150mL,38s,50mL,13s,Lower Extremity,Arterial phase,crit,0:35,45s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Renal arteries,Feet,N/A,N/A,AP full legs,CTA Arterial,Renal arteries,Ankle,Bolus tracked,0.625 mm,May need slower table speed if severe PAD,,,,,,,,,,,,,,,,,,,Axial,Arterial,Pelvis/Legs,2 mm/2 mm,Vascular,3,Assess all vessel segments,Coronal,Arterial,Full legs,3 mm/3 mm,Vascular,3,MIP full arterial tree,Sagittal,Arterial,Full legs,3 mm/3 mm,Vascular,3,Lateral views of vessels,3D VR,Arterial,Full legs,1.5 mm source,Vascular,3,3D for surgical planning,Ensure legs are straight and not rotated. Remove shoes and metal,vascular,100-120,Auto (reference 250),0.5,1.2-1.5,MIP and 3D VR. Curved MPR of each arterial segment. Bone subtraction for vessels.,
CTA Popliteal Entrapment,2024-01-15,Dr. Thompson,Popliteal entrapment syndrome | Exercise-induced leg pain | Young patient with claudication,Supine with legs extended in neutral position,NPO 2-4 hours,None,Isovue 370,100 mL,4 mL/s,Dual position: Neutral + Plantarflexion,Popliteal artery,150 HU,Full dose if eGFR > 30,TWO acquisitions required: 1) Neutral position 2) Active plantarflexion. Both legs scanned for comparison. Coach patient on plantarflexion technique,18-20G IV antecubital,Compare neutral vs plantarflexion images. Look for popliteal artery compression deviation or occlusion with plantarflexion. Assess muscle anatomy,100mL,25s,50mL,13s,Lower Legs,Arterial phase,crit,0:28,15s,Verify eGFR > 30,Check allergy history. Explain plantarflexion maneuver to patient,Scout/Topogram,Distal femur,Ankle,N/A,N/A,AP both legs,CTA Neutral Position,Distal femur,Ankle,Bolus tracked,0.625 mm,Both legs neutral resting position,CTA Plantarflexion,Distal femur,Ankle,Immediately after,0.625 mm,Patient actively plantarflexes both feet - point toes,,,,,,,,,,,,,Axial,Neutral,Both legs,1.5 mm/1.5 mm,Vascular,3,Baseline popliteal artery anatomy,Axial,Plantarflexion,Both legs,1.5 mm/1.5 mm,Vascular,3,Assess for compression with maneuver,Coronal,Both phases,Both legs,2 mm/2 mm,Vascular,3,MIP comparison neutral vs flexion,Sagittal,Both phases,Both legs,2 mm/2 mm,Vascular,3,Lateral view popliteal fossa,Coach patient on maintaining plantarflexion during second acquisition. Use foot straps if needed,vascular,100,Auto (reference 200),0.5,0.9,Side-by-side comparison of neutral vs plantarflexion. 3D VR showing muscle-vessel relationship,
CTA Lower Extremity Free Flap,2024-01-15,Dr. Kim,Pre-operative planning for free flap harvest (fibula ALT anterolateral thigh),Supine with legs extended,NPO 2-4 hours,None,Isovue 370,120 mL,4 mL/s,Bolus Tracking,Femoral artery,150 HU,Full dose if eGFR > 30,Scan from iliac crest to ankle. Focus on perforators in region of interest. Arterial phase critical for mapping,18-20G IV,Map perforator vessels. Measure vessel caliber and length. Identify dominant pedicle. Note anatomic variants,120mL,30s,50mL,13s,Lower Extremity,Arterial phase,crit,0:30,25s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Iliac crest,Ankle,N/A,N/A,AP both legs for comparison,CTA Arterial,Iliac crest,Ankle,Bolus tracked,0.625 mm,Bilateral for comparison and variants,,,,,,,,,,,,,,,,,,,Axial,Arterial,Thighs/Legs,1 mm/1 mm,Vascular,3,Thin slice for perforator identification,Coronal,Arterial,Full legs,1.5 mm/1.5 mm,Vascular,3,MIP to show perforator course,Sagittal,Arterial,Full legs,2 mm/2 mm,Vascular,3,Lateral perforator views,3D VR,Arterial,Region of interest,0.75 mm source,Vascular,3,Color-coded perforator map for surgery,Legs straight and not rotated. Mark skin over region of interest if possible,vascular,100,Auto (reference 200),0.5,0.9,3D VR perforator map. Curved MPR of main vessels. Measure perforator locations from bony landmarks,
CTA Pelvis Cyclist Iliac Artery Maneuver,2024-01-15,Dr. Rodriguez,External iliac artery endofibrosis | Cyclist with exercise-induced leg symptoms,Supine initially then with hip flexion,NPO 2-4 hours,None,Isovue 370,100 mL,4 mL/s,Dual position: Resting + Hip flexion cycling position,External iliac artery,150 HU,Full dose if eGFR > 30,TWO acquisitions: 1) Resting supine 2) Hip flexion simulating cycling position. Bilateral imaging for comparison,18-20G IV,Compare resting vs flexed position. Look for iliac artery kinking stenosis or occlusion with hip flexion. Common in competitive cyclists,100mL,25s,50mL,13s,Pelvis,Arterial phase,crit,0:28,12s,Verify eGFR > 30,Check allergy history. Explain hip flexion positioning,Scout/Topogram,L3,Proximal femur,N/A,N/A,AP pelvis,CTA Resting Position,L3,Mid femur,Bolus tracked,0.625 mm,Supine resting position,CTA Hip Flexion,L3,Mid femur,Immediately after,0.625 mm,Hips flexed 90 degrees - cycling position,,,,,,,,,,,,,Axial,Resting,Pelvis,1.5 mm/1.5 mm,Vascular,3,Baseline iliac artery anatomy,Axial,Flexion,Pelvis,1.5 mm/1.5 mm,Vascular,3,Assess for kinking with flexion,Coronal,Both phases,Pelvis,2 mm/2 mm,Vascular,3,MIP comparison rest vs flexion,Sagittal,Both phases,Pelvis,2 mm/2 mm,Vascular,3,Lateral view iliac course,Position patient with knees bent and hips flexed to simulate cycling. May need positioning aids,vascular,100,Auto (reference 200),0.5,0.9,Side-by-side MIP of rest vs flexion. Measure degree of stenosis. 3D VR,
CTA Pelvis Prostate Artery Embolization,2024-01-15,Dr. Jackson,Pre-procedural planning for prostate artery embolization | Benign prostatic hyperplasia,Supine with arms raised,NPO 2-4 hours,None,Isovue 370,100 mL,3-4 mL/s,Bolus Tracking,Common iliac artery,150 HU,Full dose if eGFR > 30,Scan from L3 to proximal femur. Arterial phase essential. Focus on internal iliac branches and prostate supply,18-20G IV,Identify prostate artery origins (usually anterior division of internal iliac). Map anatomy for IR. Note variants and anastomoses,100mL,28s,50mL,14s,Pelvis,Arterial phase,crit,0:30,10s,Verify eGFR > 30,Check allergy history,Scout/Topogram,L3,Proximal femur,N/A,N/A,AP pelvis,CTA Arterial,L3,Proximal femur,Bolus tracked,0.625 mm,Focus on internal iliac branches,,,,,,,,,,,,,,,,,,,Axial,Arterial,Pelvis,1 mm/1 mm,Vascular,3,Identify prostate artery origins,Coronal,Arterial,Pelvis,1.5 mm/1.5 mm,Vascular,3,MIP of iliac vessels,Sagittal,Arterial,Pelvis,1.5 mm/1.5 mm,Vascular,3,Lateral view pelvic vessels,3D VR,Arterial,Pelvis,0.75 mm source,Vascular,3,3D roadmap for interventional radiologist,Full bladder helpful for prostate visualization. Coordinate with IR before scan,vascular,100,Auto (reference 200),0.5,0.9,3D VR with prostate vessels highlighted. Curved MPR of internal iliac branches. Measure vessel diameters,
CTV Abdomen Pelvis,2024-01-15,Dr. Chen,Deep vein thrombosis | May-Thurner syndrome | IVC filter placement planning | Venous malformation,Supine with arms raised,NPO 2-4 hours,Oral contrast optional,Isovue 370,125 mL,3 mL/s,Fixed delay - Venous phase,N/A,N/A,Full dose if eGFR > 30,Scan at 180 seconds for venous phase. Slower injection rate OK for venous imaging. Scan from diaphragm to femoral veins,18-20G IV,Assess IVC iliac femoral veins for thrombosis. Look for compression (May-Thurner). Measure vessel caliber for filter sizing,125mL,42s,50mL,17s,Abdomen/Pelvis,Venous phase,done,3:00,25s,Verify eGFR > 30,Check allergy history,Scout/Topogram,Diaphragm,Proximal femur,N/A,N/A,AP,CTV Venous Phase,Diaphragm,Proximal femur,180 sec,0.625 mm,Extended delay for venous opacification,,,,,,,,,,,,,,,,,,,Axial,Venous,Full AP,2.5 mm/2.5 mm,Standard,3,Assess for filling defects,Coronal,Venous,Full AP,3 mm/3 mm,Standard,3,MIP of venous system,Sagittal,Venous,Full AP,3 mm/3 mm,Standard,3,IVC and iliac veins,3D VR,Venous,Full AP,2 mm source,Standard,3,3D venous anatomy,Arms raised. May add leg veins if DVT suspected,vascular,120,Auto (reference 200),0.5,1.0-1.375,MIP venograms. 3D VR of venous system,
CTV Chest Abdomen Pelvis,2024-01-15,Dr. White,Superior vena cava syndrome | Central venous occlusion | Tumor staging with venous involvement,Supine with arms raised,NPO 2-4 hours,None,Isovue 370,125 mL,3 mL/s,Fixed delay - Venous phase,N/A,N/A,Full dose if eGFR > 30,Scan at 180 seconds. Include SVC through femoral veins. May need arm injection for SVC assessment,18-20G IV - may need bilateral arm IVs for SVC,Assess SVC IVC and major tributaries. Look for thrombosis compression or tumor invasion,125mL,42s,50mL,17s,Full Body,Venous phase,done,3:00,35s,Verify eGFR > 30,Check allergy history. May need bilateral IVs,Scout/Topogram,Thoracic inlet,Proximal femur,N/A,N/A,AP full body,CTV Venous Phase,Thoracic inlet,Proximal femur,180 sec,0.625 mm,Extended venous phase,,,,,,,,,,,,,,,,,,,Axial,Venous,Chest,2 mm/2 mm,Standard,3,SVC and central veins,Axial,Venous,Abdomen/Pelvis,2.5 mm/2.5 mm,Standard,3,IVC and tributaries,Coronal,Venous,Full CAP,3 mm/3 mm,Standard,3,MIP full venous system,Sagittal,Venous,Full CAP,3 mm/3 mm,Standard,3,Sagittal venogram,Arms raised. For SVC consider bilateral arm injection,vascular,120,Auto (reference 200),0.5,1.0-1.2,3D venogram MIP. Curved MPR of SVC and IVC,
CTA SCAD/FMD Protocol,2024-01-15,Dr. Hayes,Spontaneous coronary artery dissection screening | Fibromuscular dysplasia screening | Multi-vessel arterial assessment,Supine with arms initially UP then DOWN,NPO 4 hours,None,Isovue 370,150 mL total,4 mL/s,Multi-phase: NC Head + CTA Neck + CTA CAP arms up + Post-contrast Head arms down,Multiple ROIs,150 HU,Full dose if eGFR > 30. Large volume for multiple phases,FOUR acquisitions: 1) NC Head arms down 2) CTA Neck bolus track 3) CTA CAP arms up 4) Post Head arms down. Patient repositions arms between scans,20G IV minimum. Verify good flow for multiple phases,Screen all vascular beds for FMD. Look for beading stenosis aneurysm dissection. Assess renal carotid vertebral intracranial arteries,150mL,38s,50mL,13s,Multi-territory,Multi-phase arterial,crit,Variable,60s total,Verify eGFR > 30,Check allergy history. Explain arm repositioning,Non-contrast Head,Vertex,Foramen magnum,N/A,5 mm,Arms down - baseline,CTA Neck,Aortic arch,Vertex,Bolus tracked,0.625 mm,Arms down - carotid/vertebral,CTA CAP,Diaphragm,Pubic symphysis,35 sec after neck,0.625 mm,Arms UP - renal and mesenteric,Post-contrast Head,Vertex,Foramen magnum,After CAP,1.25 mm,Arms DOWN - intracranial vessels,,,,,,,Axial,All phases,Respective FOV,Phase-specific,Vascular,3,Comprehensive arterial assessment,Coronal,CTA phases,Full body,2-3 mm/2-3 mm,Vascular,3,MIP of all arterial territories,Sagittal,CTA phases,Full body,2-3 mm/2-3 mm,Vascular,3,Lateral views all vessels,3D VR,CTA phases,Full body,1 mm source,Vascular,3,3D reconstruction multi-territory,Coach patient on arm repositioning. Multiple phases require good IV. Plan scan sequence carefully,vascular,100-120,Auto (reference 200-250),0.5,0.9-1.2,Comprehensive MIP and 3D VR of all vascular beds. Measure vessel diameters. Document FMD findings,
Calcium Score,2024-01-15,Dr. Smith,Cardiovascular risk assessment | Chest pain low-intermediate risk | Asymptomatic screening,Supine feet-first,NPO not required,HR control not needed for calcium score,None,None,None,Prospective gating,N/A,N/A,No contrast required,Prospective ECG gating. 3mm slices. Cover entire heart. 75% R-R interval typical. Ensure ECG leads well connected,No IV needed. Apply ECG leads carefully. Explain breath hold,Calculate Agatston score. Report percentile for age/sex. Document coronary calcification distribution,N/A,N/A,N/A,N/A,Heart,Non-contrast scan,done,0:00,5s,N/A,N/A,Scout,Top of chest,Diaphragm,N/A,N/A,AP and lateral,Calcium Score,Carina,Below heart,Prospective 75%,3 mm,Sequential axial gated acquisition,,,,,,,,,,,,,,,,,,,Axial,Calcium score,Heart,3 mm/3 mm,Standard,3,For Agatston score calculation,Axial,Calcium score,Heart,3 mm/3 mm,Standard,3,Duplicate for quality control,Curved MPR,Calcium score,Coronaries,3 mm,Standard,3,Optional vessel-specific views,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good ECG tracing essential. Patient breath hold coaching,cardiac,120,Auto (low dose),0.28-0.35,Sequential,Agatston score calculation. Percentile reporting,
Coronary CTA Post-CABG,2024-01-15,Dr. Johnson,Post-CABG graft patency assessment | Recurrent chest pain post-bypass,Supine feet-first,NPO 2-4 hours,HR < 60 target. Metoprolol 5mg IV increments up to 15mg. Nitro 0.4mg SL before scan,Isovue 370,1.1-1.3 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30,Retrospective gating for CABG. FULL CHEST FOV to include grafts. Extended coverage from thoracic inlet to below heart. Pitch 0.2-0.24,20G IV minimum. HR control critical - target < 60. Nitro administration,Assess all grafts: LIMA RIMA SVG. Check anastomoses. Native vessel disease. Graft patency vs occlusion,90mL,20s,30mL,7s,Chest,Arterial gated,crit,0:25,15s,Verify eGFR > 30,Check metoprolol contraindications. BP > 100 required,Scout,Thoracic inlet,Below heart,N/A,N/A,AP lateral,Non-contrast,Top of heart,Below heart,N/A,3 mm,Calcium score,Gated CTA,Thoracic inlet,Below heart,Bolus tracked,0.5-0.625 mm,Retrospective gating - full chest FOV,,,,,,,,,,,,,Axial,Gated CTA,Full chest,0.75 mm/0.5 mm,Cardiac,3,Thin slice for grafts and native vessels,Curved MPR,Gated CTA,Each graft,0.75 mm,Cardiac,3,Individual graft reconstructions,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Native coronary assessment,3D VR,Gated CTA,Heart/grafts,0.5 mm source,Cardiac,3,3D overview grafts and native vessels,Full chest coverage essential. Extended FOV. Low pitch for retrospective gating,cardiac,100-120,Auto ECG modulation,0.28,0.2-0.24,Curved MPR of all grafts. Label LIMA RIMA SVG. 3D VR color-coded,
Coronary CTA,2024-01-15,Dr. Johnson,Intermediate chest pain | Suspected infarct | Coronary artery dissection or aneurysm | Anomalous coronary artery | Stent patency,Supine feet-first,NPO 2-4 hours,HR < 60 target. Metoprolol 5mg IV increments up to 15mg. Nitro 0.4mg SL before scan,Isovue 370,1.1-1.3 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30,Retrospective ECG gating. 3mm slices. Cover entire heart. 75% R-R interval typical. Ensure ECG leads well connected,20G IV minimum. HR control critical - target < 60. Nitro administration,Calculate Agatston score. Give CAD-RADS score. Check function look for potential focal wall motion abnormalities,90mL,20s,30mL,7s,Heart,Arterial gated,crit,0:25,15s,Verify eGFR > 30,Check metoprolol contraindications. BP > 100 required,Scout,Thoracic inlet,Below heart,N/A,N/A,AP lateral,Non-contrast,Top of heart,Below heart,N/A,3 mm,Calcium score,Gated CTA,Top of heart,Below heart,Bolus tracked,0.5-0.625 mm,Retrospective gating ,,,,,,,,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Thin slice for grafts and native vessels,Curved MPR,Gated CTA,Heart,0.75 mm,Cardiac,3,Vessels,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Native coronary assessment,3D VR,Gated CTA,Heart/grafts,0.5 mm source,Cardiac,3,3D overview grafts and native vessels,Full chest coverage essential. Extended FOV. Low pitch for retrospective gating,cardiac,100-120,Auto ECG modulation,0.28,0.2-0.24,Curved MPR of all grafts. Label LIMA RIMA SVG. 3D VR color-coded,
Endocarditis/Cardiac Mass,2024-01-15,Dr. Martinez,Endocarditis | Cardiac mass | Valve vegetation | Intracardiac thrombus,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. Metoprolol if needed. Nitro not typically needed,Isovue 370,1.1 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30,Retrospective gating. Cover entire heart. Focus on valves and chambers. May need delayed phase for perfusion,20G IV. HR control helpful but not critical,Assess all valves for vegetations. Evaluate myocardium for abscess. Look for intracardiac masses. Check for complications,80mL,18s,30mL,7s,Heart,Arterial gated,crit,0:23,10s,Verify eGFR > 30,Check allergy history,Scout,Top of chest,Diaphragm,N/A,N/A,AP lateral,Gated CTA,Top of heart,Below heart,Bolus tracked,0.5-0.625 mm,Retrospective ECG gating,Delayed phase,Top of heart,Below heart,180 sec,2 mm,Optional for perfusion assessment,,,,,,,,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Valve and chamber assessment,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Reformatted at multiple phases,Short axis,Gated CTA,Heart,2 mm,Cardiac,3,Valve en face views,Long axis,Gated CTA,Heart,2 mm,Cardiac,3,Chamber and valve evaluation,Multiple cardiac phases helpful for valve motion. Thin slices for vegetations,cardiac,100-120,Auto ECG modulation,0.28,0.2-0.24,Multi-phase reconstructions. 4-chamber 2-chamber views. Valve-specific reformats,
Gated CTA CAP,2024-01-15,Dr. Lee,Aortic dissection | Aortic aneurysm with cardiac involvement | Combined cardiac and aortic pathology,Supine with arms raised,NPO 2-4 hours,HR < 65 target. Metoprolol 5mg IV prn. Nitro 0.4mg SL,Isovue 370,140 mL,4 mL/s,Dual phase: Gated chest + Flash AP,Ascending aorta,180 HU,Full dose if eGFR > 30. Large volume needed,TWO acquisitions: 1) Gated retrospective CHEST 2) Flash helical ABDOMEN/PELVIS. Chest gated for aortic root. AP flash arterial,20G IV minimum,Gated chest: assess aortic root valve coronaries. Flash AP: assess aorta and branches. Combined cardiac and vascular,140mL,35s,50mL,13s,Combined,Gated chest + Flash AP,crit,Variable,40s,Verify eGFR > 30,Check allergy history,Scout,Thoracic inlet,Pubic symphysis,N/A,N/A,Full AP lateral,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5-0.625 mm,Retrospective gating chest,Flash CTA AP,Diaphragm,Pubic symphysis,Immediate after chest,0.625 mm,High pitch helical - no gating,,,,,,,,,,,,,Axial,Gated chest,Chest,0.75 mm/0.75 mm,Cardiac,3,Aortic root and valve,Axial,Flash AP,Abdomen/Pelvis,2 mm/2 mm,Vascular,3,Abdominal aorta and branches,Coronal,Both,Full CAP,2.5 mm/2.5 mm,Vascular,3,MIP full aorta,Sagittal,Both,Full CAP,2.5 mm/2.5 mm,Vascular,3,Curved MPR entire aorta,Arms up. Careful timing between gated and flash acquisitions,cardiac,100,Auto ECG chest / High mAs AP,0.28 chest / 0.5 AP,0.2-0.24 chest / 1.2-1.5 AP,Curved MPR full aorta. Aortic valve reformats. 3D VR,
Gated CTA CAP Sternotomy Revision,2024-01-15,Dr. Williams,Pre-operative planning for redo sternotomy | Retrosternal structures assessment,Supine with arms raised,NPO 4 hours,HR < 65. Metoprolol IV prn. Nitro 0.4mg SL,Isovue 370,150 mL,4 mL/s,Triple phase: Gated chest + AP arterial + Chest venous,Ascending aorta,180 HU,Full dose if eGFR > 30. Large volume protocol,THREE acquisitions: 1) Gated CHEST 2) Flash AP arterial 3) CHEST venogram 60 sec delay. Venous for retrosternal structures,20G IV,Gated: cardiac anatomy. Arterial: systemic vessels. VENOUS: retrosternal veins and adherent structures critical for surgical planning,150mL,38s,50mL,13s,Multi-phase,Gated + Arterial + Venous,crit,Variable,50s,Verify eGFR > 30,Large contrast load - verify renal function,Scout,Thoracic inlet,Pubic symphysis,N/A,N/A,AP lateral full,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5-0.625 mm,Retrospective gating,Flash AP,Diaphragm,Pubic symphysis,After gated,0.625 mm,Arterial phase AP,Venogram Chest,Thoracic inlet,Diaphragm,60 sec,1 mm,Retrosternal venous structures,,,,,,,Axial,Gated chest,Chest,0.75 mm/0.75 mm,Cardiac,3,Cardiac and coronary anatomy,Axial,Venogram,Chest,1.25 mm/1.25 mm,Standard,3,Critical for retrosternal structures,Coronal,All phases,Chest,2 mm/2 mm,Standard,3,Anterior chest wall structures,3D VR,Venogram,Chest,1 mm source,Standard,3,3D map retrosternal vessels for surgery,Venous phase critical for surgical planning. Map all retrosternal structures,cardiac,100,Auto ECG chest / High mAs other,0.28 / 0.5,0.2-0.24 / 1.2-1.5,3D VR venogram highlighting retrosternal veins. Distance measurements sternum to heart,
Gated CTA TAVR,2024-01-15,Dr. Davis,Pre-TAVR planning | Aortic stenosis valve replacement planning,Supine with arms raised,NPO 4 hours,HR < 65 target. Metoprolol IV. Nitro 0.4mg SL,Isovue 370,140 mL,4 mL/s,Dual phase: Gated chest + Flash AP,Ascending aorta,180 HU,Full dose if eGFR > 30,Gated CHEST retrospective + Flash AP. Gated for valve measurements. AP for access planning. TAVR post-processing required,20G IV antecubital,Measure aortic annulus (3 diameters). Coronary heights. Access vessels (iliofemoral). Valve calcium. Comprehensive TAVR measurements,140mL,35s,50mL,13s,TAVR,Gated chest + Flash AP,crit,Variable,40s,Verify eGFR > 30,Check allergy history,Scout,Thoracic inlet,Femoral heads,N/A,N/A,AP lateral full,Gated CTA Chest,Thoracic inlet,Diaphragm,Bolus tracked,0.5 mm,Retrospective gating for valve,Flash CTA AP,Diaphragm,Femoral heads,After gated,0.625 mm,Iliofemoral access planning,,,,,,,,,,,,,Axial,Gated chest,Heart,0.5 mm/0.5 mm,Cardiac,3,Aortic valve and root measurements,Axial,Flash AP,AP,2 mm/2 mm,Vascular,3,Access vessel assessment,Double oblique,Gated chest,Aortic valve,0.5 mm,Cardiac,3,En face aortic annulus for sizing,3D VR,Flash AP,Iliofemoral,1.5 mm source,Vascular,3,3D access planning,TAVR-specific measurements protocol. Thin slices critical,cardiac,100,Auto ECG chest / High mAs AP,0.28 / 0.5,0.2-0.24 / 1.2-1.5,TAVR measurements: annulus area perimeter diameters. Coronary heights. Sinus of Valsalva. STJ. Ascending aorta. Access vessels,
Gated CTA Chest,2024-01-15,Dr. Anderson,Coronary artery disease | Chest pain | Anomalous coronaries | Coronary CTA,Supine feet-first,NPO 2-4 hours,HR < 60 target. Metoprolol 5mg IV up to 15mg total. Nitro 0.4mg SL. Check BP > 100,Isovue 370,1.1 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30,Retrospective ECG gating. Cover heart. Bolus tracking in ascending aorta. Optional stent protocol: add 40 sec delayed phase,20G IV minimum. HR control critical. Nitro administration. Monitor BP,Assess coronaries for stenosis plaque. Evaluate anomalous anatomy. Stent patency if applicable. Cardiac function from multi-phase,80mL,18s,30mL,7s,Heart,Coronary arterial,crit,0:23,8s,Verify eGFR > 30,Check metoprolol contraindications,Scout,Top of chest,Diaphragm,N/A,N/A,AP lateral,Non-contrast,Top of heart,Below heart,N/A,3 mm,Calcium score,Gated CTA,Top of heart,Below heart,Bolus tracked,0.5-0.625 mm,Retrospective ECG gating,Stent delay (optional),Top of heart,Below heart,40 sec,0.5-0.625 mm,Optional for stent assessment,,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.5 mm,Cardiac,3,Primary coronary assessment,Curved MPR,Gated CTA,Each coronary,0.75 mm,Cardiac,3,Vessel-specific reconstructions,Axial,Non-contrast,Heart,3 mm/3 mm,Standard,3,Calcium scoring,Short/long axis,Gated CTA,Heart,Multi-phase,Cardiac,3,Functional assessment,HR control essential. Coach breathing. Gating quality check,cardiac,100,Auto ECG modulation,0.28,0.2-0.24,Curved MPR all coronaries. Short/long axis. Multi-phase for function. Calcium score,
Gated CTA Chest Post-op Cardiac Valve,2024-01-15,Dr. Thompson,Post-operative valve assessment | Prosthetic valve evaluation | Post-surgical complications,Supine feet-first,NPO 2-4 hours,HR < 65 preferred. Metoprolol if needed,Isovue 370,1.3 mL/kg,4-5 mL/s,Bolus Tracking,Ascending aorta,200 HU,Full dose if eGFR > 30. Increased volume for metal artifact,Retrospective gating. INCREASED kV to 130-140 for metal artifact reduction. Increased contrast 1.3 mL/kg. Extended reconstruction phases,20G IV minimum,Assess prosthetic valve function. Look for paravalvular leak. Evaluate perivalvular complications. Metal artifact reduction critical,95mL,21s,30mL,7s,Heart,Arterial gated,crit,0:25,10s,Verify eGFR > 30,Check allergy history,Scout,Top of chest,Diaphragm,N/A,N/A,AP lateral,Gated CTA,Top of heart,Below heart,Bolus tracked,0.5-0.625 mm,Retrospective gating HIGH kV,,,,,,,,,,,,,,,,,,,Axial,Gated CTA,Heart,0.75 mm/0.75 mm,Cardiac,3,Prosthetic valve assessment,Axial,Gated CTA,Heart,Multi-phase,Cardiac,3,Multiple cardiac phases for motion,Short axis,Gated CTA,Valve level,1 mm,Cardiac,3,En face valve views,Long axis,Gated CTA,Heart,Multi-phase,Cardiac,3,Valve motion assessment,High kV (130-140) critical for metal artifact. Increased contrast volume,cardiac,130-140,Auto ECG modulation,0.28,0.2-0.24,Multi-phase reconstructions. Valve-specific views. Paravalvular assessment,
